"","x"
"Aa",3.06010928961749
"Ab",1.78688524590164
"Ac",2.07650273224044
"Ad",1.61748633879781
"Ae",1.43715846994536
"Af",1.5792349726776
"ST01",3.76502732240437
"SU02",2.6120218579235
"D03",4.36065573770492
"ST04",3.21311475409836
"SU05",2.87431693989071
"D06",3.44808743169399
"D07",3.93989071038251
"SU08",2.50819672131148
"ST09",3.22404371584699
"SU10",1.99453551912568
"D11",3.9344262295082
"ST12",2.92349726775956
"SU13",2.54644808743169
"D14",4.08743169398907
"D15",3.22404371584699
"SU16",2.81420765027322
"ST17",3.18032786885246
"SU18",1.90163934426229
"D19",3.7103825136612
"ST20",2.56284153005464
"SU21",2.54644808743169
"D22",3.34426229508197
"D23",3.13661202185792
"SU24",3.05464480874317
"ST25",3.33879781420765
"SU26",4.12568306010929
"D27",3.45355191256831
"ST28",2.47540983606557
"SU29",2.46994535519126
"D30",3.68852459016393
"D31",4.02185792349727
"SU32",4.06010928961749
"Ca",3.01092896174863
"Cb",4.37158469945355
"Cc",3.68852459016393
"Cd",3.59016393442623
"Ce",3.99453551912568
"Cf",2.97814207650273
"Cg",3.85245901639344
"Ch",3.66666666666667
"Da",2.56830601092896
"Db",3.87431693989071
"Dc",3.7103825136612
"Dd",3.30054644808743
"De",3.47540983606557
"Df",1.84699453551913
"Dg",2.92896174863388
"Dh",2.91256830601093
"Di",2.63934426229508
"Dj",3.95081967213115
"Age",25.5846994535519
"Attitude",31.207650273224
"Points",20.6065573770492
